Format: 
<number of consecutive ints>,<time in nanoseconds to add to my tree>,<" " to remove all from my tree>,<depth of my tree>,<time in nanoseconds to add to Java tree>,<" " to remove all from Java tree>

1,1911695,690219,0,48708,285829

2,21145,221263,1,15103,19635

4,49841,77404,2,23787,21522

8,40023,104590,3,43799,39269

16,87599,220885,4,112897,67587

32,201251,439882,5,268460,235611

64,455364,951505,6,595068,498408

128,797075,1504285,7,686444,626786

256,1514857,2660062,8,1735365,838986

512,8210512,3669338,9,1717619,4330861

1024,4377304,4580820,10,3799982,3463934

2048,3812441,5446614,11,3668961,2147307

4096,3076157,7891456,12,5223841,2811473

8192,4221740,9115575,13,3156582,6209708

16384,7137803,10273618,14,3774683,7974524

32768,7989627,7378323,15,6938440,6338841

65536,15980765,16137460,16,14826497,8494454

131072,27532497,25026487,17,18008755,5488526

262144,49774320,50444904,18,43538559,15288280

524288,108187329,164650129,19,214488637,60492729

1048576,485422707,172457006,20,345438097,168470500

2097152,1171911024,1097678477,21,1216390138,363555595

4194304,1869398671,2694174746,22,1876171730,207959119

8388608,5425826734,1869554234,23,4719062284,982913299

16777216,15599781607,7542385802,24,8721764257,1026657262

